"id","name","website","email","phone","notes","tags"
"ba844c63-443b-460d-b743-558ef752ceaf","RINGO Hairstyle","https://www.ringo-hairstyle.de/","","05121 7557549","Almsstraße 33, 31134 Hildesheim, Germany","establishment|hair_care|point_of_interest"
"99fe6453-1763-401e-b89e-bbd71a654720","Friseursalon & Kosmetikstudio Louisa","https://friseursalon-louisa.de/","","05121 7556783","Hannoversche Str. 1, 31134 Hildesheim, Germany","establishment|hair_care|point_of_interest"
